,product_id,product_category,care_label,product_main_category,product_sub_category,updated_care_label,color,component,weight
953,#9007,accessory/sun-hat,"main: dobby pro+ 47% polyamide, 53% cotton, 310 g/m². 
padding: 100% polyester, 200 g/m2.
lining:100% polyamide.",accessory,sun-hat,"dobby pro 47% polyamide, 53% cotton",,main,310.0
954,#9007,accessory/sun-hat,"main: dobby pro+ 47% polyamide, 53% cotton, 310 g/m². 
padding: 100% polyester, 200 g/m2.
lining:100% polyamide.",accessory,sun-hat,100% polyester,,padding,200.0
955,#9007,accessory/sun-hat,"main: dobby pro+ 47% polyamide, 53% cotton, 310 g/m². 
padding: 100% polyester, 200 g/m2.
lining:100% polyamide.",accessory,sun-hat,100% polyamide,,lining,
956,#9008,accessory/cap-hat,"main: 100% polyamide. 
lining: 100% polyester",accessory,cap-hat,100% polyamide,,main,
957,#9008,accessory/cap-hat,"main: 100% polyamide. 
lining: 100% polyester",accessory,cap-hat,100% polyester,,lining,
958,#9009,accessory/knit-cap,"100% merino wool, 160 g/m2.",accessory,knit-cap,100% merino wool,,main,160.0
959,#9014,accessory/knit-cap,"95% cotton, 5% elastane",accessory,knit-cap,"95% cotton, 5% elastane",,main,
960,#9015,accessory/knit-cap,100% acrylic.,accessory,knit-cap,100% acrylic,,main,
961,#9017,accessory/knit-cap,100% cotton.,accessory,knit-cap,100% cotton,,main,
962,#9018,accessory/belt,"95% polyester, 5% elastane.",accessory,belt,"95% polyester, 5% elastane",,main,
963,#9019,accessory/headband,"100% merino wool, 160 g/m2.",accessory,headband,100% merino wool,,main,160.0
964,#9020,accessory/belt,"95% polyester, 5% elastane",accessory,belt,"95% polyester, 5% elastane",,main,
965,#9022,accessory/cap-hat,"100% merino wool, 160 g/m2.",accessory,cap-hat,100% merino wool,,main,160.0
966,#9023,accessory/knit-cap,"50% wool, 50% acrylic.",accessory,knit-cap,"50% wool, 50% acrylic",,main,
967,#9024,accessory/knit-cap,"100% polyester.
",accessory,knit-cap,100% polyester,,main,
968,#9027,accessory/knit-cap,100% acrylic,accessory,knit-cap,100% acrylic,,main,
969,#9030,accessory/knit-cap,"100% polyester.
",accessory,knit-cap,100% polyester,,main,
970,#9031,accessory/knit-cap,100% recycled polyester,accessory,knit-cap,100% recycled polyester,,main,
971,#9033,accessory/belt,100% polyester.,accessory,belt,100% polyester,,main,
972,#9034,accessory/belt,100% leather.,accessory,belt,100% leather,,main,
973,#9035,accessory/knit-cap,100% acrylic.,accessory,knit-cap,100% acrylic,,main,
974,#9041,accessory/cap-hat,"100% cotton, 260 g/m².",accessory,cap-hat,100% cotton,,main,260.0
975,#9046,accessory/scarf,"84% recycled polyester, 16% elastane, 224 g/m2.",accessory,scarf,"84% recycled polyester, 16% elastane",,main,224.0
976,#9047,accessory/knit-cap,100% acrylic.,accessory,knit-cap,100% acrylic,,main,
977,#9048,accessory/knit-cap,"84% recycled polyester, 16% elastane, 224 g/m2.",accessory,knit-cap,"84% recycled polyester, 16% elastane",,main,224.0
978,#9050,accessory/belt,"90% polyester, 10% lycra.",accessory,belt,"90% polyester, 10% lycra",,main,
979,#9052,accessory/mask,"72% polyamide, 26% polypropylene,
2% elastane.",accessory,mask,"72% polyamide, 26% polypropylene, 2% elastane",,main,
980,#9053,accessory/mask,"72% polyamide, 26% polypropylene,
2% elastane",accessory,mask,"72% polyamide, 26% polypropylene, 2% elastane",,main,
981,#9054,accessory/cap-hat,"92% polyamide, 8% elastane.",accessory,cap-hat,"92% polyamide, 8% elastane",,main,
982,#9055,accessory/knit-cap,"50% wool, 50% acrylic.",accessory,knit-cap,"50% wool, 50% acrylic",,main,
983,#9062,accessory/mask,"68% wool, 30% modacrylic, 2% belltron™, 450 g/m2.",accessory,mask,"68% wool, 30% modacrylic, 2% belltron",,main,450.0
